Model Card Size (#B) and Configuration,n,Resident Torch VRAM Start (MB),Peak Torch VRAM (MB),Torch VRAM Delta (MB),Resident RAM Start (MB),Peak RAM (MB),RAM Delta (MB),Semantic Answer Mean (%),RAGAS Answer Mean (%)
1B SLM,111,2366.25 ± 0.00,2414.56 ± 7.94,48.31 ± 7.94,1857.06 ± 0.52,1857.06 ± 0.52,0.00 ± 0.00,83.64 ± 3.93,57.55 ± 7.91
1B Text-RAG,111,2366.25 ± 0.00,2431.04 ± 14.49,64.78 ± 14.49,1964.25 ± 8.49,1964.34 ± 8.43,0.09 ± 0.13,82.92 ± 6.15,59.47 ± 13.73
1B Image-Text-RAG,111,2366.25 ± 0.00,2450.10 ± 27.20,83.85 ± 27.20,2340.34 ± 34.92,2343.69 ± 5.79,3.34 ± 33.60,83.26 ± 5.75,60.82 ± 14.48
1B Image-RAG,111,2366.25 ± 0.00,2419.84 ± 11.24,53.58 ± 11.24,2361.85 ± 1.76,2361.89 ± 1.82,0.04 ± 0.27,83.65 ± 4.67,61.23 ± 10.84
3B SLM,111,6136.46 ± 0.00,6265.80 ± 8.53,129.34 ± 8.53,2102.30 ± 1.21,2102.30 ± 1.21,0.00 ± 0.00,84.07 ± 4.06,61.62 ± 9.54
3B Text-RAG,111,6136.46 ± 0.00,6356.86 ± 54.03,220.40 ± 54.03,2198.84 ± 7.43,2198.92 ± 7.36,0.08 ± 0.13,84.71 ± 4.12,64.70 ± 10.49
3B Image-Text-RAG,111,6136.46 ± 0.00,6388.00 ± 45.18,251.54 ± 45.18,2554.32 ± 32.44,2557.34 ± 3.82,3.02 ± 31.77,85.18 ± 3.91,66.35 ± 11.34
3B Image-RAG,111,6136.46 ± 0.00,6300.94 ± 21.22,164.48 ± 21.22,2562.37 ± 0.10,2562.37 ± 0.10,0.00 ± 0.02,84.75 ± 4.05,65.50 ± 10.05
