Model Card Size (#B) and Configuration,n,Total Runtime (s),Generation Time (s),Retrieval Time (s),Throughput (tokens/s),Input Tokens,Output Tokens,Semantic Answer Mean (%),RAGAS Answer Mean (%)
1B SLM,111,3.01 ± 0.98,3.01 ± 0.98,0.00 ± 0.00,95.28 ± 8.26,947.49 ± 4.01,282.41 ± 81.77,83.64 ± 3.93,57.55 ± 7.91
1B Text-RAG,111,1.92 ± 1.47,1.90 ± 1.47,0.01 ± 0.00,95.50 ± 9.01,1694.13 ± 332.72,177.76 ± 121.61,82.92 ± 6.15,59.47 ± 13.73
1B Image-Text-RAG,111,2.20 ± 1.47,2.16 ± 1.48,0.04 ± 0.02,88.37 ± 14.60,2030.49 ± 357.62,189.28 ± 132.33,83.26 ± 5.75,60.82 ± 14.48
1B Image-RAG,111,2.24 ± 0.93,2.21 ± 0.93,0.03 ± 0.00,92.97 ± 14.83,1267.50 ± 122.53,200.74 ± 82.78,83.65 ± 4.67,61.23 ± 10.84
3B SLM,111,3.44 ± 1.07,3.43 ± 1.07,0.00 ± 0.00,55.78 ± 5.81,947.49 ± 4.01,188.78 ± 52.74,84.07 ± 4.06,61.62 ± 9.54
3B Text-RAG,111,2.89 ± 1.06,2.87 ± 1.06,0.01 ± 0.00,50.94 ± 6.85,1694.13 ± 332.72,143.72 ± 51.06,84.71 ± 4.12,64.70 ± 10.49
3B Image-Text-RAG,111,2.81 ± 1.00,2.77 ± 1.00,0.04 ± 0.00,53.33 ± 7.97,2030.49 ± 357.62,145.02 ± 49.12,85.18 ± 3.91,66.35 ± 11.34
3B Image-RAG,111,2.87 ± 1.31,2.83 ± 1.31,0.03 ± 0.00,54.74 ± 8.07,1267.50 ± 122.53,150.58 ± 58.33,84.75 ± 4.05,65.50 ± 10.05
